year,district,farmer_id,crop,area_hectares,rainfall_mm,production_tons,crop_value_rs,insurance_premium_rs,claim_amount_rs,loss_percent
2000,Guntur,GUN_2000_0,Chilli,7.66,929.54,8.26,660906.68,16311.55,0.0,0.0
2000,Guntur,GUN_2000_1,Maize,4.21,1104.61,15.5,263545.21,7909.32,0.0,0.0
2000,Guntur,GUN_2000_2,Maize,1.14,683.82,2.2,37343.15,952.33,0.0,0.0
2000,Guntur,GUN_2000_3,Sugarcane,1.05,694.97,44.08,154271.23,3192.16,0.0,0.0
2000,Guntur,GUN_2000_4,Cotton,1.33,844.42,1.55,92861.29,2922.7,37144.51,0.4
2000,Guntur,GUN_2000_5,Rice,1.33,646.4,2.23,44525.14,1702.03,0.0,0.0
2000,Guntur,GUN_2000_6,Cotton,7.64,679.87,6.88,412678.73,16724.63,0.0,0.0
2000,Guntur,GUN_2000_7,Chilli,4.47,741.66,3.38,270523.12,5689.55,54104.62,0.2
2000,Guntur,GUN_2000_8,Chilli,2.28,710.65,1.64,131077.59,3439.25,0.0,0.0
2000,Guntur,GUN_2000_9,Groundnut,7.79,1104.85,16.12,805812.21,34854.59,161162.44,0.2
2000,Guntur,GUN_2000_10,Sugarcane,7.49,618.56,314.44,1100531.97,40844.39,0.0,0.0
2000,Guntur,GUN_2000_11,Sugarcane,3.28,1037.73,241.78,846214.5,26791.42,0.0,0.0
2000,Guntur,GUN_2000_12,Groundnut,5.11,819.28,6.82,340986.07,9643.08,0.0,0.0
2000,Guntur,GUN_2000_13,Groundnut,1.52,883.82,2.28,114234.39,5666.78,11423.44,0.1
2000,Guntur,GUN_2000_14,Chilli,3.05,986.12,3.59,287408.53,10972.91,57481.71,0.2
2000,Guntur,GUN_2000_15,Cotton,1.81,935.55,2.47,147990.9,6791.76,14799.09,0.1
2000,Guntur,GUN_2000_16,Cotton,1.67,1093.79,2.84,170220.38,6805.01,0.0,0.0
2000,Guntur,GUN_2000_17,Sugarcane,7.21,575.22,302.84,1059941.91,36214.45,0.0,0.0
2000,Guntur,GUN_2000_18,Sugarcane,6.94,613.25,291.58,1020532.33,28250.43,0.0,0.0
2000,Guntur,GUN_2000_19,Cotton,1.18,956.84,1.66,99477.77,2311.54,0.0,0.0
2000,Guntur,GUN_2000_20,Rice,3.2,980.71,8.71,174287.65,4789.21,0.0,0.0
2000,Guntur,GUN_2000_21,Maize,2.42,803.8,5.58,94804.89,4577.71,0.0,0.0
2000,Guntur,GUN_2000_22,Maize,2.13,983.08,6.65,112994.25,4984.19,0.0,0.0
2000,Guntur,GUN_2000_23,Sugarcane,7.18,865.75,406.38,1422316.78,42285.98,0.0,0.0
2000,Guntur,GUN_2000_24,Rice,3.23,748.67,5.79,115794.65,3799.6,23158.93,0.2
2000,Guntur,GUN_2000_25,Rice,3.13,726.43,5.34,106897.63,2665.99,0.0,0.0
2000,Guntur,GUN_2000_26,Sugarcane,2.55,731.46,110.23,385793.46,18628.92,0.0,0.0
2000,Guntur,GUN_2000_27,Rice,3.83,639.54,6.43,128582.27,2821.97,0.0,0.0
2000,Guntur,GUN_2000_28,Chilli,2.76,416.25,1.99,159118.62,4542.08,0.0,0.0
2000,Guntur,GUN_2000_29,Rice,7.84,794.7,15.51,310127.85,10026.78,0.0,0.0
2000,Guntur,GUN_2000_30,Rice,5.44,867.6,12.35,247042.35,8259.49,0.0,0.0
2000,Guntur,GUN_2000_31,Chilli,1.57,1194.91,2.4,192193.62,5975.23,0.0,0.0
2000,Guntur,GUN_2000_32,Sugarcane,3.57,1081.04,279.18,977136.01,35248.46,0.0,0.0
2000,Guntur,GUN_2000_33,Rice,2.06,1078.47,6.4,127981.09,4510.82,12798.11,0.1
2000,Guntur,GUN_2000_34,Maize,5.14,489.87,9.86,167647.22,6597.79,0.0,0.0
2000,Guntur,GUN_2000_35,Rice,3.78,813.71,7.77,155470.15,5524.25,31094.03,0.2
2000,Guntur,GUN_2000_36,Maize,3.39,728.65,6.64,112844.25,4491.15,22568.85,0.2
2000,Guntur,GUN_2000_37,Rice,4.62,911.22,11.29,225735.0,6281.05,90294.0,0.4
2000,Guntur,GUN_2000_38,Sugarcane,7.28,851.98,401.87,1406534.86,42436.41,0.0,0.0
2000,Guntur,GUN_2000_39,Maize,6.99,956.36,20.99,356770.05,11464.89,71354.01,0.2
2000,Krishna,KRI_2000_0,Chilli,1.59,858.61,1.52,121731.72,2453.12,0.0,0.0
2000,Krishna,KRI_2000_1,Cotton,4.4,657.13,3.96,237562.0,7947.1,95024.8,0.4
2000,Krishna,KRI_2000_2,Chilli,5.99,649.76,4.31,344750.66,14615.62,34475.07,0.1
2000,Krishna,KRI_2000_3,Maize,5.6,573.91,10.76,182891.39,6775.99,0.0,0.0
2000,Krishna,KRI_2000_4,Maize,5.45,907.92,15.16,257685.44,12721.1,0.0,0.0
2000,Krishna,KRI_2000_5,Maize,4.04,500.34,7.76,131890.42,4022.97,13189.04,0.1
2000,Krishna,KRI_2000_6,Rice,2.37,607.4,3.98,79521.15,1648.43,7952.12,0.1
2000,Krishna,KRI_2000_7,Rice,7.96,995.44,22.15,442956.77,15104.09,0.0,0.0
2000,Krishna,KRI_2000_8,Sugarcane,3.59,894.65,213.54,747405.82,36554.57,149481.16,0.2
2000,Krishna,KRI_2000_9,Groundnut,3.7,785.43,4.61,230658.62,10502.83,0.0,0.0
2000,Krishna,KRI_2000_10,Cotton,4.9,834.64,5.61,336656.43,12490.57,0.0,0.0
2000,Krishna,KRI_2000_11,Sugarcane,3.51,877.06,202.58,709029.01,19586.86,0.0,0.0
2000,Krishna,KRI_2000_12,Cotton,6.19,1016.61,9.5,569893.75,17544.03,0.0,0.0
2000,Krishna,KRI_2000_13,Cotton,6.67,1010.76,10.16,609600.36,28049.04,121920.07,0.2
2000,Krishna,KRI_2000_14,Cotton,1.04,563.35,0.93,55959.88,1238.29,0.0,0.0
2000,Krishna,KRI_2000_15,Sugarcane,7.23,899.0,433.08,1515775.14,45685.24,0.0,0.0
2000,Krishna,KRI_2000_16,Cotton,4.07,559.97,3.66,219743.22,5416.94,87897.29,0.4
2000,Krishna,KRI_2000_17,Sugarcane,5.14,1040.28,380.19,1330676.98,27831.12,0.0,0.0
2000,Krishna,KRI_2000_18,Sugarcane,3.12,401.69,131.16,459060.21,20582.46,0.0,0.0
2000,Krishna,KRI_2000_19,Chilli,5.36,885.21,5.38,430194.69,9705.37,0.0,0.0
2000,Krishna,KRI_2000_20,Chilli,3.88,646.9,2.79,223457.89,5359.05,89383.16,0.4
2000,Krishna,KRI_2000_21,Cotton,3.26,884.46,4.08,245025.64,10745.74,0.0,0.0
2000,Krishna,KRI_2000_22,Chilli,6.21,653.46,4.47,357597.99,8019.56,0.0,0.0
2000,Krishna,KRI_2000_23,Chilli,3.86,684.34,2.78,222489.83,5606.48,0.0,0.0
2000,Krishna,KRI_2000_24,Cotton,2.68,836.77,3.08,184853.26,6562.45,18485.33,0.1
2000,Krishna,KRI_2000_25,Groundnut,5.28,915.58,8.36,418052.36,13623.49,0.0,0.0
2000,Krishna,KRI_2000_26,Maize,6.3,888.76,16.97,288484.04,9873.43,0.0,0.0
2000,Krishna,KRI_2000_27,Groundnut,4.31,954.93,7.27,363285.3,9153.36,0.0,0.0
2000,Krishna,KRI_2000_28,Cotton,5.31,711.99,4.78,286791.34,8958.9,28679.13,0.1
2000,Krishna,KRI_2000_29,Cotton,4.51,826.15,5.08,304906.69,11031.93,30490.67,0.1
2000,Krishna,KRI_2000_30,Cotton,1.19,929.43,1.6,95945.41,3575.33,0.0,0.0
2000,Krishna,KRI_2000_31,Chilli,1.9,825.22,1.71,136821.22,6066.12,27364.24,0.2
2000,Krishna,KRI_2000_32,Chilli,3.7,856.2,3.53,282438.31,6251.96,0.0,0.0
2000,Krishna,KRI_2000_33,Cotton,5.77,675.46,5.19,311649.97,9417.67,0.0,0.0
2000,Krishna,KRI_2000_34,Chilli,5.85,905.89,6.08,486113.89,10293.75,0.0,0.0
2000,Krishna,KRI_2000_35,Groundnut,2.97,763.22,3.54,177137.14,4485.68,17713.71,0.1
2000,Krishna,KRI_2000_36,Maize,7.93,442.47,15.23,258950.61,11210.59,0.0,0.0
2000,Krishna,KRI_2000_37,Sugarcane,4.93,555.89,207.19,725160.83,19693.85,72516.08,0.1
2000,Krishna,KRI_2000_38,Rice,2.67,926.57,6.69,133717.81,4666.33,0.0,0.0
2000,Krishna,KRI_2000_39,Groundnut,7.27,349.17,7.85,392507.78,12433.1,0.0,0.0
2000,Anantapur,ANA_2000_0,Rice,6.93,878.41,16.03,320669.7,12923.98,0.0,0.0
2000,Anantapur,ANA_2000_1,Cotton,5.42,775.09,5.52,331248.04,11081.36,0.0,0.0
2000,Anantapur,ANA_2000_2,Rice,4.88,731.48,8.42,168309.87,8066.73,67323.95,0.4
2000,Anantapur,ANA_2000_3,Sugarcane,4.85,849.86,266.5,932757.61,31010.38,186551.52,0.2
2000,Anantapur,ANA_2000_4,Maize,5.94,818.01,14.07,239160.37,10799.15,0.0,0.0
2000,Anantapur,ANA_2000_5,Cotton,3.78,816.55,4.18,250813.02,11727.24,0.0,0.0
2000,Anantapur,ANA_2000_6,Groundnut,1.59,1030.87,3.0,149773.98,7251.68,59909.59,0.4
2000,Anantapur,ANA_2000_7,Chilli,3.45,704.52,2.49,198808.0,8199.92,0.0,0.0
2000,Anantapur,ANA_2000_8,Chilli,4.91,971.53,5.65,452082.64,10549.77,0.0,0.0
2000,Anantapur,ANA_2000_9,Groundnut,3.84,768.01,4.62,230848.61,8574.68,23084.86,0.1
2000,Anantapur,ANA_2000_10,Groundnut,6.76,968.03,11.61,580577.02,15748.26,0.0,0.0
2000,Anantapur,ANA_2000_11,Chilli,3.0,1026.67,3.74,298970.61,13769.98,0.0,0.0
2000,Anantapur,ANA_2000_12,Sugarcane,6.61,809.12,336.77,1178701.79,34984.57,0.0,0.0
2000,Anantapur,ANA_2000_13,Groundnut,7.95,877.84,11.81,590686.84,13121.46,0.0,0.0
2000,Anantapur,ANA_2000_14,Chilli,1.53,705.62,1.1,88015.21,2537.9,35206.08,0.4
2000,Anantapur,ANA_2000_15,Sugarcane,5.09,688.76,213.79,748259.43,35194.19,0.0,0.0
2000,Anantapur,ANA_2000_16,Chilli,7.71,771.34,6.23,498444.26,11565.24,0.0,0.0
2000,Anantapur,ANA_2000_17,Cotton,2.32,679.88,2.09,125109.8,4242.59,0.0,0.0
2000,Anantapur,ANA_2000_18,Cotton,2.86,534.88,2.58,154524.54,5191.6,0.0,0.0
2000,Anantapur,ANA_2000_19,Rice,3.17,645.76,5.32,106400.9,4725.67,10640.09,0.1
2000,Anantapur,ANA_2000_20,Groundnut,1.93,1136.94,4.16,207926.99,9892.19,0.0,0.0
2000,Anantapur,ANA_2000_21,Sugarcane,7.06,453.94,296.62,1038179.74,22171.95,0.0,0.0
2000,Anantapur,ANA_2000_22,Rice,6.44,868.12,14.64,292843.16,9166.63,29284.32,0.1
2000,Anantapur,ANA_2000_23,Rice,7.79,797.24,15.49,309858.88,14025.32,61971.78,0.2
2000,Anantapur,ANA_2000_24,Cotton,1.26,843.74,1.47,87928.25,3168.09,8792.83,0.1
2000,Anantapur,ANA_2000_25,Maize,4.89,703.12,9.39,159545.04,6871.54,31909.01,0.2
2000,Anantapur,ANA_2000_26,Cotton,3.64,652.08,3.28,196827.51,5421.27,0.0,0.0
2000,Anantapur,ANA_2000_27,Chilli,2.6,670.15,1.87,149788.78,6014.17,14978.88,0.1
2000,Anantapur,ANA_2000_28,Chilli,2.88,799.67,2.47,197404.96,6768.29,39480.99,0.2
2000,Anantapur,ANA_2000_29,Cotton,6.97,714.79,6.27,376124.61,13750.06,0.0,0.0
2000,Anantapur,ANA_2000_30,Sugarcane,6.54,687.35,274.79,961780.56,31369.51,96178.06,0.1
2000,Anantapur,ANA_2000_31,Sugarcane,5.93,1307.85,539.5,1888245.84,49828.78,0.0,0.0
2000,Anantapur,ANA_2000_32,Chilli,7.86,1122.12,11.08,886558.94,32487.48,0.0,0.0
2000,Anantapur,ANA_2000_33,Cotton,3.44,1054.8,5.56,333622.03,11816.79,33362.2,0.1
2000,Anantapur,ANA_2000_34,Chilli,3.09,1181.18,4.66,372901.83,16368.21,0.0,0.0
2000,Anantapur,ANA_2000_35,Rice,4.44,845.52,9.7,193978.96,5382.4,0.0,0.0
2000,Anantapur,ANA_2000_36,Cotton,5.35,570.39,4.81,288664.55,10793.02,0.0,0.0
2000,Anantapur,ANA_2000_37,Rice,4.22,679.55,7.09,141820.03,5324.35,0.0,0.0
2000,Anantapur,ANA_2000_38,Chilli,2.27,949.47,2.53,202471.93,6928.36,20247.19,0.1
